,time,year,month,precip,precipi,temp,tempi,noon,day,index,week_counter,avg_precip,avg_temp,avg_tempi,avg_precipi,angles
273,2023-10-01,2023,10,0.0,0.0,17.3,0.8333,0.541,0.4917,0,0,0.0,20.67142857142857,1.0,0.0,0.0
280,2023-10-08,2023,10,0.0,0.0,18.6,0.9687,0.5396,0.4799,7,0,0.0,18.1,0.7574,0.0,6.9231
287,2023-10-15,2023,10,0.0,0.0,18.9,1.0,0.5382,0.4681,14,0,0.0,18.87142857142857,0.8302,0.0,13.8462
294,2023-10-22,2023,10,0.0,0.0,18.3,0.9375,0.5375,0.4569,21,0,0.0,16.014285714285712,0.5606,0.0,20.7692
301,2023-10-29,2023,10,0.0,0.0,17.1,0.8124,0.5368,0.4465,28,0,0.0,17.1,0.6631,0.0,27.6923
308,2023-11-05,2023,11,1.0,0.0337,17.3,0.8333,0.4951,0.4361,35,0,0.18571428571428572,15.814285714285715,0.5418,0.0217,34.6154
315,2023-11-12,2023,11,0.0,0.0,15.4,0.6355,0.4951,0.4264,42,0,3.857142857142857,16.414285714285715,0.5984,0.4508,41.5385
322,2023-11-19,2023,11,0.0,0.0,14.6,0.5521,0.4965,0.4181,49,0,0.0,14.414285714285715,0.4097,0.0,48.4615
329,2023-11-26,2023,11,0.0,0.0,12.8,0.3645,0.4979,0.4111,56,0,1.2571428571428573,13.257142857142856,0.3005,0.1469,55.3846
336,2023-12-03,2023,12,0.0,0.0,15.2,0.6146,0.4993,0.4049,63,0,0.4428571428571428,13.271428571428572,0.3019,0.0518,62.3077
343,2023-12-10,2023,12,0.0,0.0,11.3,0.2083,0.5014,0.4007,70,0,0.0,12.314285714285715,0.2116,0.0,69.2308
350,2023-12-17,2023,12,1.8,0.0607,13.6,0.4479,0.5035,0.3986,77,0,8.557142857142857,14.200000000000001,0.3895,1.0,76.1538
357,2023-12-24,2023,12,0.0,0.0,10.7,0.1458,0.5062,0.3979,84,0,5.042857142857143,12.914285714285715,0.2682,0.5893,83.0769
364,2023-12-31,2023,12,0.0,0.0,12.1,0.2916,0.5083,0.4,91,0,2.1142857142857143,12.042857142857143,0.186,0.2471,90.0
371,2024-01-07,2024,1,0.0,0.0,9.3,0.0,0.5104,0.4035,98,0,3.1285714285714286,10.071428571428571,0.0,0.3656,96.9231
378,2024-01-14,2024,1,1.0,0.0337,13.2,0.4063,0.5125,0.4097,105,0,3.557142857142857,12.171428571428573,0.1981,0.4157,103.8462
385,2024-01-21,2024,1,10.2,0.3434,13.3,0.4166,0.5146,0.416,112,0,5.371428571428571,13.142857142857142,0.2898,0.6277,110.7692
392,2024-01-28,2024,1,0.0,0.0,14.4,0.5312,0.5153,0.425,119,0,8.171428571428573,13.171428571428573,0.2925,0.9549,117.6923
399,2024-02-04,2024,2,29.7,1.0,11.6,0.2396,0.516,0.434,126,0,5.728571428571429,10.742857142857144,0.0633,0.6694,124.6154
406,2024-02-11,2024,2,0.0,0.0,10.8,0.1563,0.5167,0.4444,133,0,1.7857142857142858,11.514285714285714,0.1361,0.2087,131.5385
413,2024-02-18,2024,2,8.1,0.2727,12.8,0.3645,0.516,0.4556,140,0,3.9857142857142853,12.828571428571427,0.2601,0.4658,138.4615
420,2024-02-25,2024,2,0.0,0.0,14.5,0.5417,0.516,0.4667,147,0,5.857142857142857,12.4,0.2197,0.6845,145.3846
427,2024-03-03,2024,3,4.6,0.1549,9.6,0.0311,0.5146,0.4778,154,0,1.957142857142857,11.457142857142857,0.1307,0.2287,152.3077
434,2024-03-10,2024,3,1.5,0.0505,11.8,0.2603,0.5556,0.4903,161,0,0.8571428571428571,13.985714285714286,0.3693,0.1002,159.2308
441,2024-03-17,2024,3,0.0,0.0,13.8,0.4688,0.5542,0.5021,168,0,1.0142857142857142,13.5,0.3235,0.1185,166.1538
448,2024-03-24,2024,3,3.3,0.1112,12.3,0.3125,0.5528,0.5139,175,0,3.957142857142857,12.214285714285714,0.2022,0.4624,173.0769
455,2024-03-31,2024,3,0.0,0.0,13.2,0.4063,0.5507,0.525,182,0,1.8142857142857143,12.214285714285714,0.2022,0.212,180.0
462,2024-04-07,2024,4,0.0,0.0,11.9,0.2707,0.5493,0.5375,189,0,0.7999999999999999,13.214285714285714,0.2965,0.0935,186.9231
469,2024-04-14,2024,4,1.3,0.0437,11.3,0.2083,0.5486,0.5486,196,0,0.18571428571428572,13.728571428571428,0.345,0.0217,193.8462
476,2024-04-21,2024,4,0.0,0.0,15.7,0.6666,0.5472,0.5597,203,0,0.0,14.814285714285715,0.4474,0.0,200.7692
483,2024-04-28,2024,4,0.0,0.0,13.4,0.427,0.5465,0.5701,210,0,3.442857142857143,13.814285714285715,0.3531,0.4023,207.6923
490,2024-05-05,2024,5,0.0,0.0,11.9,0.2707,0.5458,0.5806,217,0,0.0,16.1,0.5687,0.0,214.6154
497,2024-05-12,2024,5,0.0,0.0,14.8,0.5728,0.5458,0.5896,224,0,0.0,14.799999999999999,0.4461,0.0,221.5385
504,2024-05-19,2024,5,0.0,0.0,15.1,0.6041,0.5458,0.5979,231,0,0.0,14.642857142857142,0.4313,0.0,228.4615
511,2024-05-26,2024,5,0.0,0.0,14.0,0.4895,0.5458,0.6042,238,0,0.0,15.514285714285714,0.5135,0.0,235.3846
518,2024-06-02,2024,6,0.0,0.0,14.8,0.5728,0.5465,0.6097,245,0,0.0,16.0,0.5593,0.0,242.3077
525,2024-06-09,2024,6,0.0,0.0,15.4,0.6355,0.5479,0.6132,252,0,0.0,15.214285714285714,0.4852,0.0,249.2308
532,2024-06-16,2024,6,0.0,0.0,14.4,0.5312,0.5486,0.6153,259,0,0.0,14.357142857142858,0.4043,0.0,256.1538
539,2024-06-23,2024,6,0.0,0.0,15.2,0.6146,0.55,0.616,266,0,0.0,15.171428571428573,0.4811,0.0,263.0769
546,2024-06-30,2024,6,0.0,0.0,17.8,0.8853,0.5507,0.6139,273,0,0.0,18.97142857142857,0.8396,0.0,270.0
553,2024-07-07,2024,7,0.0,0.0,17.3,0.8333,0.5514,0.6104,280,0,0.0,16.914285714285715,0.6456,0.0,276.9231
560,2024-07-14,2024,7,0.0,0.0,16.6,0.7604,0.5521,0.6056,287,0,0.0,16.557142857142857,0.6119,0.0,283.8462
